Lệnh Việt --> Lệnh Python
neu_loi | except
ko_lam_gi | pass
so | int
viet( | print(
chay | for
trong( | in range(
khi | while
nhap | import
ds | list
xau | str
tach( | split(
neu | if
con_neu | elif
neu_ko | else
thu: | try:
the( | replace(
nhap( | input(
tao_ham | def(
tra_ve | return
ko | not
va | and
hoac | or
dung | break
voi | with
bi_danh | as
lon_nhat( | max(
nho_nhat( | min(
tong( | sum(
do_dai( | len(
tu | from
xoa | del
mo( | open(
tiep_tuc | continue
them( | append(
noi( | join(
ghi( | write(
doc( | read(
doc_hang( | readline(
giup( | help(
